sample_id,condition,composition,spirulina_percent,nacl_percent,group,sample,sample_type,region_number,grid_row,grid_col,measurement_type,band,range_cm-1,range_start_cm-1,range_end_cm-1,value,source_column
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,integral,Band1,4010-4192,4010,4192,0.0434727,I_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,integral,Band2,4192-4488,4192,4488,0.215075,I_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,integral,Band3,4488-4759,4488,4759,0.130505,I_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,integral,Band4,4759-4956,4759,4956,0.0618773,I_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,integral,Band5,4956-5414,4956,5414,0.571739,I_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,integral,Band6,5414-6065,5414,6065,0.235691,I_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,integral,Band7,6065-7568,6065,7568,0.832937,I_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,integral,Band8,7568-8980,7568,8980,0.0775091,I_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,peak_depth,Band1,4010-4192,4010,4192,0.000649688,P_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,peak_depth,Band2,4192-4488,4192,4488,0.00139545,P_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,peak_depth,Band3,4488-4759,4488,4759,0.00107942,P_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,peak_depth,Band4,4759-4956,4759,4956,0.000731487,P_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,peak_depth,Band5,4956-5414,4956,5414,0.00309732,P_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,peak_depth,Band6,5414-6065,5414,6065,0.000843759,P_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,peak_depth,Band7,6065-7568,6065,7568,0.00115647,P_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_08,region,8.0,2.0,3.0,peak_depth,Band8,7568-8980,7568,8980,0.000153815,P_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_09,region,9.0,2.0,4.0,integral,Band1,4010-4192,4010,4192,0.0335621,I_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_09,region,9.0,2.0,4.0,integral,Band2,4192-4488,4192,4488,0.20181,I_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_09,region,9.0,2.0,4.0,integral,Band3,4488-4759,4488,4759,0.0992806,I_Band3_4488-4759
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_09,region,9.0,2.0,4.0,integral,Band4,4759-4956,4759,4956,0.0565119,I_Band4_4759-4956
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_09,region,9.0,2.0,4.0,integral,Band5,4956-5414,4956,5414,0.554242,I_Band5_4956-5414
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_09,region,9.0,2.0,4.0,integral,Band6,5414-6065,5414,6065,0.220522,I_Band6_5414-6065
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_09,region,9.0,2.0,4.0,integral,Band7,6065-7568,6065,7568,0.705231,I_Band7_6065-7568
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_09,region,9.0,2.0,4.0,integral,Band8,7568-8980,7568,8980,0.0867153,I_Band8_7568-8980
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_09,region,9.0,2.0,4.0,peak_depth,Band1,4010-4192,4010,4192,0.000543497,P_Band1_4010-4192
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_09,region,9.0,2.0,4.0,peak_depth,Band2,4192-4488,4192,4488,0.0013058,P_Band2_4192-4488
M1,ambient,15% spirulina / 85% NaCl,15,85,M1_ambient,region_09,region,9.0,2.0,4.0,peak_depth,Band3,4488-4759,4488,4759,0.000853069,P_Band3_4488-4759
